
[2025-01-29T13:08:47.213Z], INFO: Info message 
[2025-01-29T13:08:47.215Z], ERROR: Error 123     at file:///C:/Users/serhii.filipp/Documents/Soft/Course%20Node.js/HomeWork%202/index.js:8:14 
[2025-01-29T13:08:47.215Z], ERROR: Error message 
[2025-01-29T13:08:47.214Z], WARNING: Warning message 
[2025-01-29T13:08:57.220Z], INFO: 2025-01-29T13:08:57.220Z 
[2025-01-29T13:09:07.231Z], INFO: 2025-01-29T13:09:07.231Z 
[2025-01-29T13:09:17.234Z], INFO: 2025-01-29T13:09:17.234Z 
[2025-01-29T13:09:27.245Z], INFO: 2025-01-29T13:09:27.245Z 
[2025-01-29T13:09:37.255Z], INFO: 2025-01-29T13:09:37.255Z 
[2025-01-29T13:09:47.257Z], INFO: 2025-01-29T13:09:47.256Z 
[2025-01-29T13:09:57.260Z], INFO: 2025-01-29T13:09:57.260Z 
[2025-01-29T13:10:07.272Z], INFO: 2025-01-29T13:10:07.272Z 
[2025-01-29T13:10:17.282Z], INFO: 2025-01-29T13:10:17.282Z 
[2025-01-29T13:10:27.291Z], INFO: 2025-01-29T13:10:27.291Z 
[2025-01-29T13:10:31.736Z], INFO: Info message 
[2025-01-29T13:10:31.738Z], ERROR: Error message 
[2025-01-29T13:10:31.738Z], ERROR: Error 123     at file:///C:/Users/serhii.filipp/Documents/Soft/Course%20Node.js/HomeWork%202/index.js:8:14 
[2025-01-29T13:10:31.738Z], WARNING: Warning message 
[2025-01-29T13:10:41.743Z], INFO: 2025-01-29T13:10:41.743Z 
[2025-01-29T13:10:51.758Z], INFO: 2025-01-29T13:10:51.758Z 
[2025-01-29T13:11:01.766Z], INFO: 2025-01-29T13:11:01.766Z 
[2025-01-29T13:11:11.774Z], INFO: 2025-01-29T13:11:11.774Z 
[2025-01-29T13:11:21.782Z], INFO: 2025-01-29T13:11:21.782Z 
[2025-01-29T13:11:31.782Z], INFO: 2025-01-29T13:11:31.782Z 
[2025-01-29T13:11:41.797Z], INFO: 2025-01-29T13:11:41.797Z 
[2025-01-29T13:11:51.808Z], INFO: 2025-01-29T13:11:51.808Z 
[2025-01-29T13:12:01.815Z], INFO: 2025-01-29T13:12:01.815Z 
[2025-01-29T13:12:11.823Z], INFO: 2025-01-29T13:12:11.823Z 
[2025-01-29T13:12:21.824Z], INFO: 2025-01-29T13:12:21.824Z 
[2025-01-29T13:12:31.835Z], INFO: 2025-01-29T13:12:31.835Z 
[2025-01-29T13:12:41.844Z], INFO: 2025-01-29T13:12:41.844Z 
[2025-01-29T13:12:51.845Z], INFO: 2025-01-29T13:12:51.845Z 
[2025-01-29T13:13:01.858Z], INFO: 2025-01-29T13:13:01.858Z 
[2025-01-29T13:13:11.860Z], INFO: 2025-01-29T13:13:11.860Z 
[2025-01-29T13:13:21.860Z], INFO: 2025-01-29T13:13:21.860Z 
[2025-01-29T13:13:31.866Z], INFO: 2025-01-29T13:13:31.866Z 
[2025-01-29T13:13:41.875Z], INFO: 2025-01-29T13:13:41.875Z 
[2025-01-29T13:13:51.888Z], INFO: 2025-01-29T13:13:51.888Z 
[2025-01-29T13:14:01.893Z], INFO: 2025-01-29T13:14:01.893Z 
[2025-01-29T13:14:11.905Z], INFO: 2025-01-29T13:14:11.905Z 
[2025-01-29T13:14:21.917Z], INFO: 2025-01-29T13:14:21.917Z 
[2025-01-29T13:14:31.918Z], INFO: 2025-01-29T13:14:31.918Z 
[2025-01-29T13:14:41.930Z], INFO: 2025-01-29T13:14:41.930Z 
[2025-01-29T13:14:51.943Z], INFO: 2025-01-29T13:14:51.943Z 
[2025-01-29T13:15:01.948Z], INFO: 2025-01-29T13:15:01.948Z 
[2025-01-29T13:15:11.949Z], INFO: 2025-01-29T13:15:11.949Z 
[2025-01-29T13:15:21.964Z], INFO: 2025-01-29T13:15:21.964Z 
[2025-01-29T13:15:31.967Z], INFO: 2025-01-29T13:15:31.967Z 
[2025-01-29T13:15:41.979Z], INFO: 2025-01-29T13:15:41.979Z 
[2025-01-29T13:15:51.988Z], INFO: 2025-01-29T13:15:51.988Z 
[2025-01-29T13:16:01.998Z], INFO: 2025-01-29T13:16:01.998Z 
[2025-01-29T13:16:12.000Z], INFO: 2025-01-29T13:16:12.000Z 
[2025-01-29T13:16:22.007Z], INFO: 2025-01-29T13:16:22.007Z 
[2025-01-29T13:16:32.018Z], INFO: 2025-01-29T13:16:32.018Z 
[2025-01-29T13:16:42.018Z], INFO: 2025-01-29T13:16:42.018Z 
